Steps,_std_obs,_std_act,_mean_discrew,_max_discrew,_max_obs,_max_act,_mean_adv,_max_adv,_MeanReward,_min_act,_std_adv,_lr_multiplier,Beta,PolicyEntropy,PolicyLoss,_min_adv,KL,ExplainedVarOld,_mean_act,_min_discrew,ValFuncLoss,_std_discrew,_min_obs,_mean_obs,ExplainedVarNew,_Episode
2967,0.5764908100375034,0.46604824,-59.412355244978095,-1.0,5.752065938288339,2.5622275,5.747565102205057e-16,2.8490202842818477,-148.35,-2.2405088,0.9999998037247924,1.0,0.6666666666666666,0.9151507,-0.0009852791,-1.0013813401683627,0.00063637993,0.0013331976586180572,0.23144996,-113.40666218934844,3939.1505098208054,918.8333106609894,-1.1574784162506186,0.4953622074004796,0.00016796933084939347,20
4443,0.42562463051738864,0.4450188,-80.3220408691073,-1.0,3.113378625812431,2.3506749,5.645320407907166e-16,3.4218211955042634,-222.15,-2.3054698,0.9999998045642368,1.0,0.4444444444444444,0.9136244,-0.00043803843,-0.7726979555068754,0.00031457745,0.007580843688136829,0.05087361,-157.71512736158863,6852.502442210887,1541.2129288755207,-12.809756575620245,0.13616787215668072,0.000542686797316061,40
4951,0.14495235125611472,0.44754952,-86.83464349157454,-1.0,1.18383777524747,2.4313602,-5.223945785026791e-16,3.8088827180429594,-247.55,-2.4234564,0.9999997988952943,1.0,0.4444444444444444,0.9125323,-0.003265287,-0.7220818807709575,0.0053368947,0.038002975664594874,0.024240853,-159.1730824199044,7534.669132657595,1752.7101189478362,-4.5655682989415025,0.026693370758824945,0.0004254805798068473,60
4758,0.08203857824049536,0.44912902,-84.76699083913533,-1.0,0.8341227466261927,2.3846028,2.9568613215741875e-16,3.566604858755219,-237.9,-2.599204,0.9999998207633154,1.0,0.2962962962962963,0.9105799,-0.00039227636,-0.7139908934134337,0.0010649321,0.014148703853915312,0.063618235,-155.09361888018032,6744.050691675963,1704.6164085545793,-3.1981720057163163,0.03086235621271309,0.005660129499594824,80
5231,0.10325500118953519,0.45799446,-90.27878085717941,-1.0,0.9873134472190326,2.9607425,-5.4333223915893725e-17,3.677966655958354,-261.55,-2.160265,0.9999998269685919,1.0,0.4444444444444444,0.9119513,-0.0034816195,-0.661981358029758,0.00723524,0.006628144569529981,0.030974673,-166.25389446213313,7237.073834925719,1865.4524625979896,-3.2657878914039538,0.03616660517809537,0.0275687925840703,100
4860,0.07484735773580294,0.48028007,-85.92051290502887,-1.0,0.8775397392171993,2.5121765,2.5731588784727906e-16,3.799743785698501,-243.0,-2.0430362,0.9999998279101805,1.0,0.4444444444444444,0.9163764,-0.00154737,-0.7354110885117932,0.004301357,0.044908570455928776,0.07567078,-160.38268153852118,6102.231742775172,1734.7758884108027,-3.049888350891182,0.024816196106497334,0.07373847641164188,120
4477,0.06719270978599162,0.4647758,-81.70345041131011,-1.0,0.8868074260636997,2.4708006,1.3649022844621088e-16,2.318901363712646,-223.85,-2.4684615,0.9999998287547016,1.0,0.4444444444444444,0.9181917,-0.0010663823,-0.8173359875287508,0.0017938974,0.0853944874701763,0.092096746,-156.42408226665174,5168.703152664797,1641.9309287248152,-3.1827661260897524,0.0212538326663279,0.09315865701726478,140
4226,0.062068159520017166,0.45584667,-78.85865485186952,-1.0,0.8878286525878474,2.3698452,0.0,2.2157649031979676,-211.3,-2.477522,0.9999998345345206,1.0,0.2962962962962963,0.91922057,-0.0009044061,-0.8599589022819961,0.001048175,0.10084508296004602,0.11262848,-152.54803846495656,4524.533079981392,1572.343274540695,-0.5108140343939953,0.01977975713616123,0.11366731141337527,160
4472,0.06340300033940985,0.47461215,-81.00721977868594,-1.0,0.8849875995506078,3.1772542,6.355480641861361e-18,2.2113178825081037,-223.6,-2.0539813,0.9999998356435224,1.0,0.2962962962962963,0.9171391,-0.0013435637,-0.8322213586163234,0.0023254422,0.10882655537391117,0.10585195,-149.60618924414138,4508.687264705439,1571.46101241167,-0.5118439759813816,0.014724834113780491,0.12587908104239187,180
3965,0.05849607626633589,0.45825425,-74.60292372056632,-1.0,0.8868794247606735,2.3916178,-3.2077465246168457e-16,1.9965206306482,-198.25,-2.118493,0.999999839305345,1.0,0.2962962962962963,0.9150415,-0.00082815706,-0.9366095121820027,0.0043840567,0.14574226906273857,0.13770112,-147.28071955502756,3490.7849312240724,1399.960721155308,-0.5183469369765725,0.012412153836929502,0.16605176719358494,200
3075,0.08177108378306924,0.41830444,-62.51824535773241,-1.0,0.8821163259882902,2.2820675,-8.318549101581661e-17,1.9105661121044828,-153.75,-2.1183352,0.9999998404942889,1.0,0.2962962962962963,0.91146773,-0.0010313143,-1.1750951238522307,0.002275443,0.2151925142453367,0.2041175,-130.1965396605179,2114.624353330231,1098.2050414858227,-3.8318573420394877,0.012487406971723828,0.23428740758373423,220
2749,0.04650655360918348,0.41813678,-56.676599854589966,-1.0,0.8710228181697893,2.5313113,-1.0985109592507915e-16,1.5659555122073918,-137.45,-1.9502101,0.9999998387600543,1.0,0.2962962962962963,0.91542447,-0.0009409697,-1.3280240355056259,0.0032817987,0.26633719348187757,0.25436184,-125.49646102258627,1503.3291569921917,894.2933309431684,-0.5040268072505482,0.023405416077778234,0.2849576393559241,240
2507,0.0410786777082505,0.3837088,-52.21172315088114,-1.0,0.8559040991889706,2.5369294,-2.579153927170687e-16,1.5364162652829862,-125.35,-1.692069,0.9999998358818888,1.0,0.4444444444444444,0.9208657,-0.0024616162,-1.3967068506007507,0.0075782165,0.3135125633390169,0.28819007,-107.11162833383494,1101.4821223417023,745.6755074388973,-0.487808120622756,0.02660629021774416,0.3430328189184595,260
2297,0.04149974606008104,0.40248275,-48.908273822325214,-1.0,0.8452831752336345,2.5220914,-2.3200132861126475e-18,1.4104300348388028,-114.85,-1.8041558,0.9999998307270278,1.0,0.6666666666666666,0.92454016,-0.00586767,-1.5980273647865189,0.0074976604,0.35242143851409524,0.34511712,-112.53419074199988,881.0197073307228,683.3210681896805,-0.48768488565792995,0.03173969809665098,0.38496078755096697,280
2097,0.03517265067604722,0.37241882,-44.86447492478837,-1.0,0.8317591259827657,2.489775,-1.761956235551989e-16,1.364284670853642,-104.85,-1.4566362,0.9999998190776948,1.0,0.4444444444444444,0.9244952,-0.000720322,-1.5274054794301142,0.0008580081,0.4329334693331274,0.4030853,-85.34527462228216,604.4536197216758,554.0688456528259,-0.47401997612406643,0.030621139247257328,0.4634935391787347,300
2061,0.033178358046329195,0.37272477,-44.22005092046506,-1.0,0.8187096054191962,2.7393835,-2.0685378042506557e-17,1.306180965757489,-103.05,-1.5667572,0.9999998165938636,1.0,0.2962962962962963,0.92081726,-0.0002076187,-1.5445767719542516,0.00012841087,0.45108428124607924,0.4234121,-83.60811113194026,557.7367506567418,539.4694861828617,-0.45174393473418084,0.03603121216335656,0.48284389267186734,320
2055,0.03338296481357002,0.3759229,-44.10662608422237,-1.0,0.8074388965492425,2.3300269,-1.4522041314804967e-16,1.2697656976821017,-102.75,-2.075232,0.9999998141191931,1.0,0.19753086419753085,0.91677535,-0.0002120974,-1.5914803676807963,0.00015618601,0.4671218976124901,0.42910588,-84.76912022339916,537.9537892369513,536.6570552835371,-0.43747340584344885,0.03454567249219888,0.49533318637715207,340
2046,0.04180711582090209,0.37307313,-42.07965663978834,-0.5067439574995607,0.7971024279937223,2.615192,-1.3891353582797658e-17,0.4001817519979432,-152.25,-1.4798148,0.9999999594599259,1.0,0.19753086419753085,0.9191914,-0.00040651247,-10.078806605672288,0.0038385238,0.006066854641002872,0.41346103,-506.7439574995607,7742.199218606632,7714.577867597595,-4.205115472896121,0.03585431184561878,0.016444185314065884,360
2027,0.03192649714771127,0.3640592,-22.2578271753429,-0.510602927011474,0.7876760065100314,2.4603326,-5.258086352442774e-17,2.4665774317142986,-101.35,-1.4973886,0.9999997438794236,1.0,0.2962962962962963,0.91911,-0.0062913042,-1.5560914526129008,0.008749787,0.5569194532497942,0.38376594,-42.091758719710526,57.37233773069954,136.76052861959843,-0.41752622823926533,0.03624698349002341,0.7088843519750799,380
2227,0.034501203031543325,0.37196144,-24.317570257334076,-0.5147321453067745,0.7787010015482508,2.2576694,0.0,3.6394301215012517,-111.35,-1.3810339,0.9999996513348863,1.0,0.2962962962962963,0.92267835,-0.0020517916,-1.9287890231718579,0.003187646,0.7174016801172787,0.32280052,-48.75063021869222,17.437668668822685,162.58808635219293,-0.3888580758388053,0.030884604517136597,0.9129476739868336,400
2102,0.03336342145114089,0.38463354,-23.33365955351311,-0.5185471862564839,0.7714590879620787,2.4663868,-3.380317486965272e-17,2.3939286190423656,-105.1,-1.6019778,0.9999993298233527,1.0,0.2962962962962963,0.9217087,-0.0011172879,-2.6502648112438747,0.002503463,0.9159885355300292,0.3879634,-45.142908684548686,10.367715562378642,150.42210064170234,-0.38951797217060447,0.025805506346456186,0.936196382216461,420
2216,0.035052959521035154,0.3833694,-24.561839989303884,-0.5224738677919207,0.7643060793870321,3.0741282,7.054124632997385e-17,2.2285151777552468,-110.8,-2.2696207,0.9999993025929762,1.0,0.2962962962962963,0.92397887,-0.0013410831,-2.878985225365037,0.0023960583,0.9230719786416559,0.3933964,-48.36974413895039,14.536827139917218,165.42048075678113,-0.36704274933100667,0.026834500136293255,0.9331674876220132,440
2132,0.03317532639150428,0.3801431,-23.937729351887487,-0.5261740487343649,0.7585614092607786,2.1136098,4.9991280658543634e-18,1.651313760978148,-106.6,-1.8673513,0.999999197225022,1.0,0.19753086419753085,0.9255667,-0.00028397678,-3.111844899420058,0.0002538019,0.9398622530723038,0.40752733,-45.806876719693406,10.542101373209224,157.47057683191417,-0.3692972444823035,0.025008585399991796,0.9443536799804022,460
2190,0.035533331796839825,0.37045696,-24.66379668172803,-0.5298925365826235,0.7527358520340531,2.3805945,2.5955899023200006e-17,1.6862005843631236,-109.5,-1.6948524,0.9999992777349187,1.0,0.2962962962962963,0.9275634,-0.0054417932,-3.101603866560863,0.012054991,0.9262956816518672,0.422388,-49.05655190748882,14.257932220896121,166.95837298090458,-0.37164393436345455,0.021467102415318694,0.9316801612477333,480
2061,0.03246908879984631,0.38024756,-23.604703485907702,-0.5333274573676124,0.7467007405715292,2.5407372,-1.0342689021253278e-17,1.190031131123381,-103.05,-1.7464397,0.9999990961725557,1.0,0.4444444444444444,0.9273982,-0.004730076,-3.7772552195818516,0.008161452,0.9509511032264704,0.48036498,-47.625339494991245,8.83514325089629,154.33044401425192,-0.3736893273724456,0.027879395149937817,0.95369794157888,500
1967,0.029828429755520802,0.4001921,-36.39742328434725,-0.4511410550243507,0.7423208866351276,2.7017527,0.0,0.24356850711825198,-148.3,-1.5686864,0.9999999552998219,1.0,0.4444444444444444,0.92891747,-0.0033126338,-9.884222833336004,0.0039592274,0.010121143626986573,0.5233601,-451.1410550243507,6074.8388982237075,6053.087587984399,-0.37597983154765613,0.038861313669600626,0.013163546631488443,520
1967,0.02919425664367655,0.38612273,-19.290638401293368,-0.4538015885189598,0.736501468104326,2.4751775,1.174002995028127e-16,1.618167888744834,-98.35,-1.3221639,0.9999995219433221,1.0,0.4444444444444444,0.9253021,-0.002784802,-2.183689497178449,0.0026505121,0.8795205100438178,0.48614308,-36.32882510711155,69.80931982088441,103.16209727325985,-0.3784178284562296,0.0340143182857005,0.8407284469094102,540
2009,0.030858668526291246,0.37232995,-33.52019432924484,-0.4124719613764751,0.7321016778811573,2.7329195,1.4147192349628674e-17,0.48250866587253216,-150.4,-1.4972045,0.9999999494222989,1.0,0.2962962962962963,0.9202857,-0.00058307056,-9.947533531679596,0.0004045426,0.03995226692356946,0.46051678,-412.4719613764751,4737.459556833483,5018.642594867856,-0.38078866523225546,0.02815752757367489,0.0879463450610396,560
