Steps,_lr_multiplier,_Episode,_max_adv,_min_adv,_std_adv,_mean_discrew,PolicyEntropy,ValFuncLoss,_max_act,ExplainedVarOld,_min_obs,_std_obs,_max_obs,_max_discrew,_min_discrew,Beta,_min_act,PolicyLoss,_MeanReward,_mean_act,_std_act,KL,_std_discrew,ExplainedVarNew,_mean_adv,_mean_obs
20085,1.0,20,3.648351787009957,-5.18882639524219,0.9999828605746174,0.0,0.91554385,1.288696772332675e-05,2.3396623,0.9493444933280681,-2.1953016066573996,0.09258592167136082,1.944993030824571,0.0,0.0,0.6666666666666666,-2.8980927,-0.00025191566,-1004.25,-0.11731824,0.37910223,0.00012894325,0.0,0.9999878726261776,-3.396171403184945e-17,0.08428368935358282
15617,1.0,40,4.300391377551732,-6.70547641315858,0.9997245130300128,0.0,0.91909015,7.52521941608358e-06,2.2638955,0.9999188587593556,-1.879620950217647,0.07901785453940738,1.5245671196529205,0.0,0.0,0.6666666666666666,-2.5579896,-0.003781008,-780.85,-0.11087055,0.38786072,0.005374141,0.0,0.9999925403167998,-1.4559369625615168e-17,0.0712528796944376
11215,1.0,60,3.2943613720732636,-12.740484684365889,0.9992327380426247,0.0,0.9235904,2.2621868746946256e-06,2.5684159,0.9999877981241931,-1.7527744183330045,0.08101083735841627,1.627123842762603,0.0,0.0,0.4444444444444444,-2.5435214,-0.00058312376,-560.75,-0.102050684,0.38532066,0.0014829013,0.0,0.9999979942041691,-2.1541197517470716e-17,0.06886832815009146
9427,1.0,80,3.94155120068449,-11.953128671335143,0.9987704202685714,0.0,0.92803764,1.0656121855176522e-06,2.2741225,0.9999965341300179,-1.6398847452572192,0.08398379620214182,1.8671647653431764,0.0,0.0,0.4444444444444444,-2.3985615,-0.001456685,-471.35,-0.10132552,0.38201246,0.0035209486,0.0,0.9999989362692239,-1.5828362629640506e-17,0.07146905672363789
7762,1.0,100,3.3078362971385147,-12.995577851916325,0.9986918780742134,0.0,0.93187773,1.3136314344224572e-06,2.2482133,0.999996873506155,-1.5559913363748743,0.09014727693154212,1.7576706528235813,0.0,0.0,0.4444444444444444,-2.4444869,-0.0006757262,-388.1,-0.10622997,0.38505694,0.0023144674,0.0,0.9999987776497763,-9.154119244525898e-18,0.08904734455791882
6497,1.0,120,7.237522075650608,-23.372492583084142,0.9987786577370489,0.0,0.9310895,1.9389288312901426e-05,2.0748706,0.9999963060114239,-1.4915276473616774,0.08730053139803137,1.9288417603070358,0.0,0.0,0.2962962962962963,-2.3350039,-0.00061157346,-324.85,-0.10195723,0.38661292,0.0006900683,0.0,0.9999937942517215,1.0936474307528093e-18,0.10394508820959406
5481,1.0,140,4.914526171373057,-7.362556951463649,0.998493631432735,0.0,0.92680424,5.737191329519032e-07,2.1691782,0.9999943225312188,-1.4732940987475318,0.08353973374871639,1.7979933561220387,0.0,0.0,0.2962962962962963,-2.4905448,-0.0037009185,-274.05,-0.09360262,0.36310998,0.0054241153,0.0,0.9999994500748233,3.889122801095239e-17,0.11587006878796285
7237,1.0,160,8.015366711676776,-4.109071439839298,0.998220765934519,0.0,0.92709476,6.868875767895718e-07,2.181794,0.9999970122990491,-1.480474656509063,0.0852680301793702,1.5395205530692804,0.0,0.0,0.2962962962962963,-2.328762,-0.0017162211,-361.85,-0.11371607,0.3776229,0.004194888,0.0,0.9999993135092585,7.854555597734975e-18,0.07335654154732048
4658,1.0,180,5.231600130118267,-12.346912623715996,0.9983290006521011,0.0,0.9295659,5.042100433166337e-07,2.2208238,0.9999980745097599,-1.4651402061243843,0.06458591651115282,1.716416632420029,0.0,0.0,0.2962962962962963,-2.4603674,-0.014278568,-232.9,-0.09396251,0.38391817,0.0034406194,0.0,0.9999996012630973,9.152547047145988e-18,0.11674622922126607
3736,1.0,200,6.883318356901958,-3.488651100819783,0.9964668224054407,0.0,0.9353749,1.1445745509512026e-06,2.213013,0.9999996143769267,-1.4900784378795304,0.057441230873420415,1.8922515109019458,0.0,0.0,0.2962962962962963,-2.4362152,-0.000719156,-186.8,-0.064779334,0.38437736,0.0015938325,0.0,0.9999990407726332,7.607523937474306e-18,0.14153561186278588
