_Episode,PolicyEntropy,ValFuncLoss,Beta,_std_act,_std_adv,_lr_multiplier,_min_adv,_mean_adv,_max_adv,_max_act,ExplainedVarOld,_min_obs,ExplainedVarNew,_std_obs,_mean_act,_max_obs,_MeanReward,_min_discrew,_min_act,_mean_obs,_max_discrew,_mean_discrew,_std_discrew,PolicyLoss,KL,Steps
20,0.915831,185213.2196750629,0.6666666666666666,0.4827453,0.9999998508444744,1.0,-0.9746099647284276,2.16324486296986e-16,2.6694877837156636,2.4628904,-0.0002506973107578858,-2.0774667193626453,0.00029191550447549286,0.9397678054032166,0.2291696,6.5779009232068155,-170.8,-1236.0,-2.2426603,0.24131380761111948,-1.0,-261.05679156908667,119242.27604872234,-0.0017374827,0.0009968021,3416
40,0.91698855,862244.2668494652,0.4444444444444444,0.40616214,0.9999997789078992,1.0,-0.38624826524563205,3.904699842486152e-16,5.498925487193066,2.3969402,4.467118328221886e-05,-2.6906580108020677,0.00011816368931827359,0.23966869776580862,-0.18088198,2.3129999999998563,-757.0,-2314.0,-2.6083376,0.14650066164376882,-1.0,-715.3202113606341,372183.7953510782,-0.0007894746,0.0010718904,15140
60,0.91209793,10699.689501633964,0.4444444444444444,0.42902914,0.9999998874712448,1.0,-3.4700323423656507,-6.574026853601544e-17,2.4436183375183345,2.4671474,0.09135765828165732,-1.7676206264179697,0.02579924627621355,0.08113253925582428,0.39990267,0.8218353585835796,-144.55,-324.0,-2.1092007,0.058919261781973424,-1.0,-92.31225905936778,5016.405192814924,-0.0046241414,0.0058943667,2594
80,0.90782654,12337.950269192848,0.4444444444444444,0.42892763,0.9999998797249418,1.0,-1.3149059574993593,1.0577487692744328e-17,2.5541885338404295,2.3450959,0.02209699561511913,-1.75919908480194,0.020151286079649555,0.06729618006497892,0.3517792,0.7635428977827736,-134.35,-368.0,-2.0042098,0.044092249383645254,-1.0,-90.02605135839227,7046.075986752853,-0.0016907263,0.0043916935,2687
100,0.9069366,3447.011080813657,0.4444444444444444,0.37920153,0.9999998693594844,1.0,-1.6163699253322208,1.4667874814691333e-16,1.9635487708604784,2.4509315,0.0772247031171619,-0.45422788357762334,0.07796076936316121,0.04019929565951015,0.39387837,0.7534484334983568,-115.05,-219.0,-1.475607,0.06588653399737178,-1.0,-60.79269882659713,1573.608916705905,-0.0025181337,0.004061399,2301
120,0.90603,3264.102307417377,0.4444444444444444,0.35274848,0.9999998815981672,1.0,-3.416744652431102,1.0550982619175502e-16,1.6013594773438609,2.3749938,0.08663521837868049,-1.8631025026531316,0.07891941295079663,0.04099985561710616,0.44756946,0.7435201392822298,-112.7,-205.0,-1.8468077,0.0652276841438443,-1.0,-59.819953596287704,1483.8311563783573,-0.0010313945,0.00299441,2155
140,0.9066803,2803.123336845044,0.6666666666666666,0.3850101,0.9999998689626262,1.0,-1.5108442085507405,5.325937613722091e-17,1.8765716371515437,2.4699895,0.08969938743381567,-0.45393305148815993,0.09851439272501827,0.03650791513617362,0.42236874,0.7313823564442874,-113.4,-155.0,-1.8989309,0.05009567308452011,-1.0,-58.05599647266314,1179.6013617495466,-0.0015628668,0.006363915,2268
160,0.9084059,3831.4276286181903,0.6666666666666666,0.4057735,0.9999998838820537,1.0,-3.2902212154625774,-2.5140830986646625e-17,1.836278062504893,2.3970268,0.06992218106345127,-1.988769347693815,0.07260460654607681,0.04255852152413757,0.45648783,0.7229867896574106,-118.0,-211.0,-1.8206403,0.044058880890976836,-1.0,-63.56214064573198,1742.5406984693832,-0.0037444476,0.0055601317,2261
180,0.91023904,2345.85097073911,1.0,0.37903935,0.999999865200704,1.0,-1.466055986867958,2.812564995717063e-16,1.70369305087328,2.5236568,0.11313126412796537,-0.45296854640532047,0.11483771644205165,0.03481103165961637,0.46848345,0.7159241183747219,-108.0,-127.0,-1.8858589,0.05183435567781978,-1.0,-54.74583333333333,999.5441956018518,-0.0024761837,0.006711197,2160
200,0.90953875,1451659.2393157238,0.6666666666666666,0.44779754,0.9999998698967513,1.0,-2.6681618190349483,1.212567216290282e-16,3.7734119366404664,2.6089888,0.0004896455557038548,-2.1002918552211622,0.0010343419202689663,0.33110651811630315,-0.046864547,3.069999999999773,-333.1,-3071.0,-2.3149576,0.22667327093804146,-1.0,-788.7999390522626,865026.6171445947,-0.000594737,0.00039983002,6563
